variant,token,correct,missing,substituted,total,error_rate
whisper-small,base,251,26,5,282,0.10992907801418439
whisper-large-v3-turbo,okay,227,19,9,255,0.1098039215686275
GPT-4o mini Transcribe,particularly,73,6,3,82,0.1097560975609756
whisper-small,strong,998,80,43,1121,0.10972346119536125
GPT-4o mini Transcribe,2.4,122,15,0,137,0.10948905109489049
whisper-small,good,480,41,18,539,0.10946196660482377
whisper-small,flow,1018,65,60,1143,0.10936132983377078
whisper-large-v3-turbo,able,106,9,4,119,0.10924369747899154
whisper-small,additional,155,4,15,174,0.10919540229885061
whisper-small,rates,204,17,8,229,0.10917030567685593
whisper-large-v3-turbo,lost,49,6,0,55,0.10909090909090913
whisper-small,commerce,49,6,0,55,0.10909090909090913
GPT-4o mini Transcribe,clearly,98,9,3,110,0.10909090909090913
whisper-large-v3-turbo,conditions,49,1,5,55,0.10909090909090913
whisper-small,might,49,6,0,55,0.10909090909090913
whisper-large-v3-turbo,recovering,49,0,6,55,0.10909090909090913
whisper-small,performance,613,51,24,688,0.10901162790697672
whisper-small,thanks,188,13,10,211,0.1090047393364929
whisper-small,loans,131,6,10,147,0.108843537414966
whisper-small,expenses,1041,69,58,1168,0.10873287671232879
GPT-4o mini Transcribe,rose,123,12,3,138,0.10869565217391308
whisper-small,rose,123,15,0,138,0.10869565217391308
whisper-large-v3-turbo,q3,640,50,28,718,0.10863509749303624
GPT-4o mini Transcribe,72,74,6,3,83,0.10843373493975905
GPT-4o mini Transcribe,towards,107,9,4,120,0.10833333333333328
whisper-small,towards,107,6,7,120,0.10833333333333328
whisper-large-v3-turbo,4.6,66,7,1,74,0.10810810810810811
whisper-small,2.5,190,14,9,213,0.107981220657277
whisper-small,its,1182,90,53,1325,0.10792452830188681
whisper-large-v3-turbo,further,124,12,3,139,0.1079136690647482
whisper-small,annual,488,34,25,547,0.10786106032906762
whisper-small,equity,546,50,16,612,0.10784313725490191
whisper-small,production,398,33,15,446,0.1076233183856502
whisper-small,almost,332,21,19,372,0.10752688172043012
GPT-4o mini Transcribe,140,108,7,6,121,0.1074380165289256
whisper-large-v3-turbo,sold,108,9,4,121,0.1074380165289256
whisper-large-v3-turbo,right,291,25,10,326,0.1073619631901841
whisper-small,65,183,15,7,205,0.10731707317073169
whisper-large-v3-turbo,clearly,100,12,0,112,0.1071428571428571
whisper-small,user,75,9,0,84,0.1071428571428571
whisper-large-v3-turbo,62,50,0,6,56,0.1071428571428571
whisper-small,todays,50,6,0,56,0.1071428571428571
whisper-small,let,175,15,6,196,0.1071428571428571
whisper-small,software,100,12,0,112,0.1071428571428571
whisper-large-v3-turbo,included,175,6,15,196,0.1071428571428571
whisper-small,h1,150,15,3,168,0.1071428571428571
whisper-small,hi,50,3,3,56,0.1071428571428571
whisper-small,30,750,61,29,840,0.1071428571428571
whisper-small,is,5944,455,257,6656,0.10697115384615385
whisper-large-v3-turbo,consolidated,234,18,10,262,0.10687022900763354
whisper-small,acquisition,184,13,9,206,0.10679611650485432
whisper-large-v3-turbo,weve,410,27,22,459,0.10675381263616557
whisper-small,volumes,159,13,6,178,0.1067415730337079
whisper-small,30th,67,8,0,75,0.10666666666666669
GPT-4o mini Transcribe,continuing,67,6,2,75,0.10666666666666669
whisper-large-v3-turbo,euro,680,42,39,761,0.10643889618922475
whisper-large-v3-turbo,addition,168,8,12,188,0.1063829787234043
GPT-4o mini Transcribe,june,185,14,8,207,0.106280193236715
whisper-small,expansion,202,17,7,226,0.10619469026548678
whisper-small,loss,362,25,18,405,0.10617283950617284
whisper-small,said,278,24,9,311,0.1061093247588425
whisper-large-v3-turbo,focused,59,0,7,66,0.10606060606060608
whisper-small,focused,59,0,7,66,0.10606060606060608
whisper-small,half,649,43,34,726,0.10606060606060608
GPT-4o mini Transcribe,focused,59,0,7,66,0.10606060606060608
GPT-4o mini Transcribe,target,253,19,11,283,0.10600706713780916
GPT-4o mini Transcribe,bit,152,12,6,170,0.10588235294117643
whisper-large-v3-turbo,worth,76,3,6,85,0.10588235294117643
whisper-small,primarily,245,15,14,274,0.1058394160583942
whisper-small,markets,203,21,3,227,0.10572687224669608
whisper-small,gain,110,3,10,123,0.10569105691056913
whisper-large-v3-turbo,like,491,36,22,549,0.10564663023679421
GPT-4o mini Transcribe,price,1016,60,60,1136,0.10563380281690138
GPT-4o mini Transcribe,product,229,27,0,256,0.10546875
whisper-small,portion,51,3,3,57,0.10526315789473684
GPT-4o mini Transcribe,2024,51,3,3,57,0.10526315789473684
whisper-large-v3-turbo,decided,51,3,3,57,0.10526315789473684
whisper-small,79,51,3,3,57,0.10526315789473684
whisper-large-v3-turbo,portion,51,0,6,57,0.10526315789473684
GPT-4o mini Transcribe,77,51,6,0,57,0.10526315789473684
GPT-4o mini Transcribe,remind,51,6,0,57,0.10526315789473684
whisper-small,it,1445,91,79,1615,0.10526315789473684
whisper-small,digit,187,6,16,209,0.10526315789473684
whisper-small,bit,153,15,3,171,0.10526315789473684
whisper-large-v3-turbo,gains,153,10,8,171,0.10526315789473684
whisper-large-v3-turbo,14,452,36,17,505,0.10495049504950493
whisper-small,2018,145,6,11,162,0.1049382716049383
GPT-4o mini Transcribe,additional,145,4,13,162,0.1049382716049383
whisper-large-v3-turbo,140,111,4,9,124,0.10483870967741937
whisper-large-v3-turbo,both,316,27,10,353,0.10481586402266285
GPT-4o mini Transcribe,environment,94,1,10,105,0.10476190476190472
GPT-4o mini Transcribe,20,1009,88,30,1127,0.10470275066548362
whisper-small,income,1950,161,67,2178,0.10468319559228645
whisper-large-v3-turbo,72,77,6,3,86,0.10465116279069764
GPT-4o mini Transcribe,unchanged,77,6,3,86,0.10465116279069764
whisper-small,without,77,4,5,86,0.10465116279069764
whisper-small,72,77,6,3,86,0.10465116279069764
whisper-large-v3-turbo,fees,163,15,4,182,0.10439560439560436
whisper-large-v3-turbo,income,1948,159,68,2175,0.104367816091954
whisper-small,lower,618,38,34,690,0.10434782608695647
whisper-small,balance,292,31,3,326,0.10429447852760731
whisper-large-v3-turbo,why,129,6,9,144,0.10416666666666663
whisper-small,2.9,86,6,4,96,0.10416666666666663
whisper-small,thats,757,66,22,845,0.10414201183431948
whisper-large-v3-turbo,4.5,155,3,15,173,0.10404624277456642
whisper-small,underlying,250,12,17,279,0.10394265232974909
whisper-large-v3-turbo,adjusted,1329,72,82,1483,0.10384356035064057
whisper-large-v3-turbo,loss,363,32,10,405,0.10370370370370374
whisper-small,at,4072,268,203,4543,0.10367598503191722
GPT-4o mini Transcribe,2018,147,6,11,164,0.10365853658536583
whisper-small,25,441,31,20,492,0.10365853658536583
whisper-large-v3-turbo,1,3507,303,102,3912,0.1035276073619632
GPT-4o mini Transcribe,synergies,52,3,3,58,0.10344827586206895
GPT-4o mini Transcribe,never,52,3,3,58,0.10344827586206895
whisper-small,pay,78,6,3,87,0.10344827586206895
whisper-large-v3-turbo,uk,52,3,3,58,0.10344827586206895
whisper-small,subscriber,52,3,3,58,0.10344827586206895
GPT-4o mini Transcribe,seen,234,3,24,261,0.10344827586206895
whisper-large-v3-turbo,remain,104,4,8,116,0.10344827586206895
whisper-small,uk,52,0,6,58,0.10344827586206895
whisper-small,reduced,139,4,12,155,0.10322580645161294
whisper-small,terms,617,48,23,688,0.10319767441860461
whisper-small,of,20178,1430,891,22499,0.10316014045068667
whisper-large-v3-turbo,clear,87,0,10,97,0.1030927835051546
GPT-4o mini Transcribe,momentum,87,3,7,97,0.1030927835051546
whisper-small,capital,1453,110,57,1620,0.10308641975308641
whisper-small,rd,183,18,3,204,0.1029411764705882
GPT-4o mini Transcribe,operational,96,6,5,107,0.10280373831775702
whisper-small,accounts,96,9,2,107,0.10280373831775702
whisper-large-v3-turbo,equity,550,50,13,613,0.10277324632952689
whisper-small,better,227,10,16,253,0.1027667984189723
GPT-4o mini Transcribe,8,629,50,22,701,0.10271041369472178
whisper-large-v3-turbo,17,332,22,16,370,0.10270270270270265
whisper-small,around,1155,72,60,1287,0.10256410256410253
whisper-large-v3-turbo,65,184,16,5,205,0.10243902439024388
whisper-small,distribution,149,4,13,166,0.10240963855421692
whisper-large-v3-turbo,tty,114,10,3,127,0.10236220472440949
whisper-small,last,1842,125,85,2052,0.10233918128654973
whisper-small,average,614,37,33,684,0.10233918128654973
whisper-large-v3-turbo,around,1141,76,54,1271,0.10228166797797011
whisper-large-v3-turbo,sent,79,6,3,88,0.10227272727272729
whisper-large-v3-turbo,seen,237,15,12,264,0.10227272727272729
whisper-large-v3-turbo,tier,79,6,3,88,0.10227272727272729
whisper-small,quite,123,5,9,137,0.1021897810218978
whisper-large-v3-turbo,third,1450,112,53,1615,0.10216718266253866
whisper-small,would,677,47,30,754,0.10212201591511938
whisper-large-v3-turbo,momentum,88,9,1,98,0.10204081632653061
whisper-large-v3-turbo,300,220,11,14,245,0.10204081632653061
whisper-large-v3-turbo,60,326,28,9,363,0.10192837465564741
whisper-small,net,3527,269,131,3927,0.10185892538833718
whisper-large-v3-turbo,41,97,7,4,108,0.10185185185185186
whisper-small,environment,97,4,7,108,0.10185185185185186
whisper-large-v3-turbo,environment,97,9,2,108,0.10185185185185186
whisper-small,estimate,203,13,10,226,0.10176991150442483
whisper-small,rmb,203,14,9,226,0.10176991150442483
whisper-small,retention,53,3,3,59,0.10169491525423724
GPT-4o mini Transcribe,comment,53,6,0,59,0.10169491525423724
GPT-4o mini Transcribe,improvements,53,6,0,59,0.10169491525423724
whisper-small,making,53,3,3,59,0.10169491525423724
whisper-large-v3-turbo,making,53,3,3,59,0.10169491525423724
GPT-4o mini Transcribe,thing,53,6,0,59,0.10169491525423724
GPT-4o mini Transcribe,addition,168,6,13,187,0.10160427807486627
whisper-large-v3-turbo,better,230,16,10,256,0.1015625
whisper-large-v3-turbo,lot,62,3,4,69,0.10144927536231885
whisper-small,foreign,62,3,4,69,0.10144927536231885
whisper-large-v3-turbo,foreign,62,3,4,69,0.10144927536231885
whisper-small,regarding,186,12,9,207,0.10144927536231885
GPT-4o mini Transcribe,1.9,133,10,5,148,0.10135135135135132
GPT-4o mini Transcribe,3,1662,150,37,1849,0.1011357490535425
GPT-4o mini Transcribe,currently,80,6,3,89,0.101123595505618
whisper-small,side,178,16,4,198,0.101010101010101
whisper-small,quarters,267,24,6,297,0.101010101010101
whisper-small,quarter,6079,427,256,6762,0.10100561963916
whisper-large-v3-turbo,30,749,54,30,833,0.10084033613445376
GPT-4o mini Transcribe,taxes,116,1,12,129,0.10077519379844957
whisper-large-v3-turbo,70,241,15,12,268,0.10074626865671643
whisper-large-v3-turbo,recorded,241,18,9,268,0.10074626865671643
whisper-small,11,366,34,7,407,0.10073710073710074
whisper-large-v3-turbo,company,250,15,13,278,0.1007194244604317
whisper-large-v3-turbo,55,125,0,14,139,0.1007194244604317
whisper-large-v3-turbo,only,304,18,16,338,0.10059171597633132
whisper-large-v3-turbo,effective,170,18,1,189,0.10052910052910058
whisper-small,achieved,179,12,8,199,0.10050251256281406
whisper-small,start,179,11,9,199,0.10050251256281406
whisper-small,now,1156,81,48,1285,0.10038910505836574
whisper-small,operations,251,15,13,279,0.10035842293906805
whisper-small,moving,314,24,11,349,0.10028653295128942
whisper-large-v3-turbo,billings,54,0,6,60,0.09999999999999998
whisper-small,pricing,90,10,0,100,0.09999999999999998
whisper-large-v3-turbo,midpoint,54,3,3,60,0.09999999999999998
whisper-small,maintenance,81,0,9,90,0.09999999999999998
whisper-large-v3-turbo,construction,81,3,6,90,0.09999999999999998
whisper-large-v3-turbo,strategy,108,9,3,120,0.09999999999999998
GPT-4o mini Transcribe,17,333,21,16,370,0.09999999999999998
GPT-4o mini Transcribe,isas,54,6,0,60,0.09999999999999998
whisper-small,isas,54,6,0,60,0.09999999999999998
whisper-small,midpoint,54,6,0,60,0.09999999999999998
whisper-small,77,54,6,0,60,0.09999999999999998
whisper-large-v3-turbo,remember,54,3,3,60,0.09999999999999998
whisper-large-v3-turbo,june,189,12,9,210,0.09999999999999998
whisper-large-v3-turbo,3.6,108,3,9,120,0.09999999999999998
GPT-4o mini Transcribe,whats,54,6,0,60,0.09999999999999998
whisper-large-v3-turbo,reached,388,31,12,431,0.09976798143851506
whisper-small,expected,587,47,18,652,0.09969325153374231
whisper-small,to,16774,1156,698,18628,0.09952759287094692
whisper-large-v3-turbo,earlier,181,6,14,201,0.09950248756218905
whisper-small,earlier,181,6,14,201,0.09950248756218905
whisper-small,numbers,172,13,6,191,0.09947643979057597
whisper-small,50,507,43,13,563,0.09946714031971582
whisper-large-v3-turbo,still,317,27,8,352,0.09943181818181823
whisper-small,representing,308,27,7,342,0.09941520467836262
whisper-small,pre,1522,107,61,1690,0.09940828402366864
whisper-small,hand,145,12,4,161,0.0993788819875776
whisper-small,13,408,28,17,453,0.09933774834437081
whisper-small,continue,372,33,8,413,0.09927360774818406
GPT-4o mini Transcribe,compared,2025,123,100,2248,0.09919928825622781
GPT-4o mini Transcribe,ended,173,11,8,192,0.09895833333333337
whisper-small,68,82,9,0,91,0.09890109890109888
GPT-4o mini Transcribe,beginning,82,6,3,91,0.09890109890109888
whisper-large-v3-turbo,currently,82,6,3,91,0.09890109890109888
whisper-small,want,73,8,0,81,0.09876543209876543
GPT-4o mini Transcribe,income,1937,150,62,2149,0.09865053513261979
whisper-large-v3-turbo,january,64,6,1,71,0.09859154929577463
whisper-small,stable,128,11,3,142,0.09859154929577463
whisper-small,unit,293,26,6,325,0.09846153846153849
whisper-small,cap,55,6,0,61,0.09836065573770492
whisper-small,provide,55,3,3,61,0.09836065573770492
whisper-small,synergies,55,3,3,61,0.09836065573770492
whisper-large-v3-turbo,us,1137,78,46,1261,0.09833465503568595
whisper-large-v3-turbo,expenses,1056,67,48,1171,0.09820666097352693
whisper-small,same,597,49,16,662,0.09818731117824775
whisper-large-v3-turbo,past,147,10,6,163,0.09815950920245398
whisper-small,past,147,13,3,163,0.09815950920245398
whisper-small,course,193,9,12,214,0.09813084112149528
whisper-large-v3-turbo,september,350,21,17,388,0.09793814432989689
whisper-small,the,29621,2086,1129,32836,0.09791082957729325
whisper-small,will,1328,89,55,1472,0.09782608695652173
whisper-large-v3-turbo,note,83,6,3,92,0.09782608695652173
whisper-small,note,83,6,3,92,0.09782608695652173
GPT-4o mini Transcribe,sentation,83,6,3,92,0.09782608695652173
GPT-4o mini Transcribe,2.7,83,3,6,92,0.09782608695652173
whisper-small,april,83,6,3,92,0.09782608695652173
whisper-small,currently,83,6,3,92,0.09782608695652173
whisper-small,sentation,83,6,3,92,0.09782608695652173
whisper-large-v3-turbo,sentation,83,6,3,92,0.09782608695652173
whisper-small,1.2,120,12,1,133,0.09774436090225569
whisper-large-v3-turbo,fiscal,997,65,43,1105,0.09773755656108596
whisper-large-v3-turbo,came,268,17,12,297,0.09764309764309764
GPT-4o mini Transcribe,65,185,15,5,205,0.09756097560975607
whisper-large-v3-turbo,25,444,40,8,492,0.09756097560975607
whisper-small,effects,74,8,0,82,0.09756097560975607
whisper-small,gmv,111,12,0,123,0.09756097560975607
whisper-large-v3-turbo,dollars,407,28,16,451,0.09756097560975607
whisper-large-v3-turbo,dont,111,9,3,123,0.09756097560975607
GPT-4o mini Transcribe,hand,148,15,1,164,0.09756097560975607
GPT-4o mini Transcribe,announced,139,9,6,154,0.09740259740259738
whisper-large-v3-turbo,rmb,204,12,10,226,0.09734513274336287
whisper-large-v3-turbo,will,1326,64,79,1469,0.09734513274336287
whisper-large-v3-turbo,asset,408,29,15,452,0.09734513274336287
whisper-small,product,232,18,7,257,0.09727626459143968
whisper-large-v3-turbo,an,2079,99,125,2303,0.09726443768996962
whisper-large-v3-turbo,30th,65,6,1,72,0.09722222222222221
whisper-small,market,604,30,35,669,0.09715994020926755
whisper-large-v3-turbo,reflecting,158,13,4,175,0.0971428571428572
whisper-large-v3-turbo,compared,2046,128,92,2266,0.09708737864077666
whisper-large-v3-turbo,energy,177,1,18,196,0.09693877551020413
whisper-small,out,410,14,30,454,0.09691629955947134
GPT-4o mini Transcribe,weve,410,13,31,454,0.09691629955947134
whisper-small,a,9256,588,405,10249,0.09688750121963119
whisper-small,please,317,24,10,351,0.09686609686609682
GPT-4o mini Transcribe,5.3,56,6,0,62,0.09677419354838712
whisper-large-v3-turbo,voice,84,6,3,93,0.09677419354838712
whisper-large-v3-turbo,step,84,9,0,93,0.09677419354838712
whisper-large-v3-turbo,planning,56,0,6,62,0.09677419354838712
whisper-large-v3-turbo,5.3,56,6,0,62,0.09677419354838712
whisper-small,break,56,0,6,62,0.09677419354838712
whisper-small,planning,56,0,6,62,0.09677419354838712
whisper-small,not,672,36,36,744,0.09677419354838712
whisper-small,0.7,56,3,3,62,0.09677419354838712
whisper-large-v3-turbo,0.9,56,3,3,62,0.09677419354838712
GPT-4o mini Transcribe,decreased,411,31,13,455,0.09670329670329669
whisper-small,call,327,7,28,362,0.09668508287292821
whisper-large-v3-turbo,finally,150,15,1,166,0.09638554216867468
whisper-small,with,4004,254,173,4431,0.0963665086887836
whisper-small,year,8403,567,329,9299,0.0963544467147005
whisper-small,operation,122,6,7,135,0.09629629629629632
GPT-4o mini Transcribe,out,413,14,30,457,0.09628008752735229
whisper-large-v3-turbo,specific,47,5,0,52,0.09615384615384615
whisper-small,17.5,94,9,1,104,0.09615384615384615
whisper-large-v3-turbo,levels,282,21,9,312,0.09615384615384615
whisper-small,specific,47,5,0,52,0.09615384615384615
whisper-small,group,536,33,24,593,0.09612141652613826
GPT-4o mini Transcribe,september,348,27,10,385,0.09610389610389614
whisper-small,because,339,33,3,375,0.09599999999999997
whisper-small,fiscal,999,69,37,1105,0.09592760180995474
whisper-small,new,509,40,14,563,0.0959147424511545
whisper-small,tier,85,6,3,94,0.0957446808510638
